nome_file;applicazione;SistemaOperativo;serial;encoding;preskip;originalSampleRate;PacketDuration;PacketDuration2;PacketDuration3;PageDuration;PageDuration2;PageDuration3;TotalDataLength;AverageBitrate
audio_2017-05-07_17-55-14.ogg;T;A;110c4c76;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;13718;20.04
audio_2017-05-06_21-50-10.ogg;T;WP;0000305e;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;144167;19.22
audio_2017-05-07_17-55-49.ogg;T;A;61da78bc;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;144538;19.16
audio_2017-05-06_21-49-12.ogg;T;WP;000012db;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;62174;16.65
audio_2017-05-08_10-06-42.ogg;T;A;64c2cc83;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;63584;16.55
audio_2017-05-06_21-48-25.ogg;T;WP;000001eb;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;7017;17.36
audio_2017-05-08_10-06-21.ogg;T;A;05df85b0;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;12500;17.9
audio_2017-05-06_21-49-00.ogg;T;WP;00002ea6;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;98336;15.69
audio_2017-05-08_10-07-02.ogg;T;A;272cbc2e;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;128200;16.93
PTT-20170504-WA0018.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;1820.0;1690.0;400.0;73158;19.24
PTT-20170504-WA0009.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1840.0;1683.3;240.0;72746;19.21
PTT-20170504-WA0019.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;1820.0;1766.7;1740.0;12786;19.31
PTT-20170504-WA0010.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1840.0;1375.0;100.0;13096;19.06
PTT-20170504-WA0017.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;1820.0;1725.7;420.0;145267;19.24
PTT-20170504-WA0008.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;1840.0;1724.6;420.0;145217;19.25
PTT-20170504-WA0008.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;2820.0;2533.3;520.0;47985;12.63
PTT-20170504-WA0006.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2220.0;2026.7;180.0;59991;15.79
PTT-20170504-WA0007.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;2840.0;1860.0;60.0;8770;12.58
PTT-20170504-WA0005.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2280.0;1766.7;860.0;10314;15.57
PTT-20170504-WA0009.opus.waptt;W;WP;0;WhatsApp;104;16000;20.0;20.0;20.0;2800.0;2627.0;1060.0;95736;12.68
PTT-20170504-WA0007.opus;W;A;0;WhatsApp;104;16000;20.0;20.0;20.0;2260.0;2158.6;1840.0;118680;15.71
audio_2017-04-02_21-59-34.ogg;T;WP;29;libopus;312;16000;60.0;60.0;60.0;60.0;60.0;60.0;8253;18.37
